for NUM in range(1,101): print("Num: {0:<5d} --> bin: {0:b}".format(NUM))

Num: 1     --> bin: 1
Num: 2     --> bin: 10
Num: 3     --> bin: 11
Num: 4     --> bin: 100
Num: 5     --> bin: 101
Num: 6     --> bin: 110
Num: 7     --> bin: 111
Num: 8     --> bin: 1000
Num: 9     --> bin: 1001
Num: 10    --> bin: 1010
Num: 11    --> bin: 1011
Num: 12    --> bin: 1100
Num: 13    --> bin: 1101
Num: 14    --> bin: 1110
Num: 15    --> bin: 1111
Num: 16    --> bin: 10000
Num: 17    --> bin: 10001
Num: 18    --> bin: 10010
Num: 19    --> bin: 10011
Num: 20    --> bin: 10100
Num: 21    --> bin: 10101
Num: 22    --> bin: 10110
Num: 23    --> bin: 10111
Num: 24    --> bin: 11000
Num: 25    --> bin: 11001
Num: 26    --> bin: 11010
Num: 27    --> bin: 11011
Num: 28    --> bin: 11100
Num: 29    --> bin: 11101
Num: 30    --> bin: 11110
Num: 31    --> bin: 11111
Num: 32    --> bin: 100000
Num: 33    --> bin: 100001
Num: 34    --> bin: 100010
Num: 35    --> bin: 100011
Num: 36    --> bin: 100100
Num: 37    --> bin: 100101
Num: 38    --> bin: 100110
Num: 39    --> bin: 100111
Num: 40    --> bin: 101000
Num: 41    --> bin: 101001
Num: 42    --> bin: 101010
Num: 43    --> bin: 101011
Num: 44    --> bin: 101100
Num: 45    --> bin: 101101
Num: 46    --> bin: 101110
Num: 47    --> bin: 101111
Num: 48    --> bin: 110000
Num: 49    --> bin: 110001
Num: 50    --> bin: 110010
Num: 51    --> bin: 110011
Num: 52    --> bin: 110100
Num: 53    --> bin: 110101
Num: 54    --> bin: 110110
Num: 55    --> bin: 110111
Num: 56    --> bin: 111000
Num: 57    --> bin: 111001
Num: 58    --> bin: 111010
Num: 59    --> bin: 111011
Num: 60    --> bin: 111100
Num: 61    --> bin: 111101
Num: 62    --> bin: 111110
Num: 63    --> bin: 111111
Num: 64    --> bin: 1000000
Num: 65    --> bin: 1000001
Num: 66    --> bin: 1000010
Num: 67    --> bin: 1000011
Num: 68    --> bin: 1000100
Num: 69    --> bin: 1000101
Num: 70    --> bin: 1000110
Num: 71    --> bin: 1000111
Num: 72    --> bin: 1001000
Num: 73    --> bin: 1001001
Num: 74    --> bin: 1001010
Num: 75    --> bin: 1001011
Num: 76    --> bin: 1001100
Num: 77    --> bin: 1001101
Num: 78    --> bin: 1001110
Num: 79    --> bin: 1001111
Num: 80    --> bin: 1010000
Num: 81    --> bin: 1010001
Num: 82    --> bin: 1010010
Num: 83    --> bin: 1010011
Num: 84    --> bin: 1010100
Num: 85    --> bin: 1010101
Num: 86    --> bin: 1010110
Num: 87    --> bin: 1010111
Num: 88    --> bin: 1011000
Num: 89    --> bin: 1011001
Num: 90    --> bin: 1011010
Num: 91    --> bin: 1011011
Num: 92    --> bin: 1011100
Num: 93    --> bin: 1011101
Num: 94    --> bin: 1011110
Num: 95    --> bin: 1011111
Num: 96    --> bin: 1100000
Num: 97    --> bin: 1100001
Num: 98    --> bin: 1100010
Num: 99    --> bin: 1100011
Num: 100   --> bin: 1100100

